id,name,azimuth,cone_angle,started_at,last_seen_at,is_wildfire,angle_of_view,lat,lon
6113,moret-sur-loing-02,300.0,0.0,2025-05-15T07:02:21.126702,2025-05-15T07:07:21.001953,,54.2,48.37916667,2.820833333
6105,moret-sur-loing-01,0.0,0.0,2025-05-15T04:48:48.305299,2025-05-15T04:53:17.507034,,54.2,48.37916667,2.820833333
6234,nemours-02,200.0,0.0,2025-05-16T19:58:25.154284,2025-05-16T20:00:46.033482,,54.2,48.2604833333,2.7063833333
6233,nemours-02,250.0,0.0,2025-05-16T19:23:05.320062,2025-05-16T19:25:25.622331,,54.2,48.2604833333,2.7063833333
6231,moret-sur-loing-01,100.0,0.0,2025-05-16T18:56:39.913759,2025-05-16T18:59:10.687681,,54.2,48.37916667,2.820833333
6230,videlles-01,50.0,0.0,2025-05-16T18:53:54.553797,2025-05-16T18:56:06.729873,,54.2,48.478333333,2.42416667
6228,videlles-02,300.0,0.0,2025-05-16T18:51:46.504804,2025-05-16T18:58:16.619527,,54.2,48.478333333,2.42416667
6225,croix-augas-01,50.0,0.0,2025-05-16T18:42:07.434501,2025-05-16T18:44:36.871769,,54.2,48.4267461256,2.7108759097
6224,nemours-01,50.0,0.0,2025-05-16T18:40:24.924754,2025-05-16T18:42:56.718120,,54.2,48.2604833333,2.7063833333
6220,moret-sur-loing-02,200.0,0.0,2025-05-16T18:14:09.054246,2025-05-16T18:15:09.219404,,54.2,48.37916667,2.820833333
6219,croix-augas-01,150.0,0.0,2025-05-16T17:53:06.141458,2025-05-16T17:53:36.485184,,54.2,48.4267461256,2.7108759097
6218,nemours-02,250.0,0.0,2025-05-16T17:46:26.155939,2025-05-16T18:13:47.903950,,54.2,48.2604833333,2.7063833333
6215,croix-augas-02,350.0,0.0,2025-05-16T16:51:04.545548,2025-05-16T16:51:06.857965,,54.2,48.4267461256,2.7108759097
6211,croix-augas-02,350.0,5.474199999999999,2025-05-16T15:55:33.740297,2025-05-16T15:55:35.962751,,54.2,48.4267461256,2.7108759097
6210,videlles-01,150.0,0.0,2025-05-16T15:34:05.657369,2025-05-16T15:34:33.373726,,54.2,48.478333333,2.42416667
6208,croix-augas-01,150.0,0.0,2025-05-16T15:06:01.672066,2025-05-16T15:16:33.075863,,54.2,48.4267461256,2.7108759097
6205,croix-augas-02,350.0,0.0,2025-05-16T14:09:33.744404,2025-05-16T14:11:30.865785,,54.2,48.4267461256,2.7108759097
6204,croix-augas-01,0.0,0.0,2025-05-16T14:09:30.739084,2025-05-16T16:52:34.354629,,54.2,48.4267461256,2.7108759097
6202,videlles-02,200.0,0.0,2025-05-16T14:07:29.364111,2025-05-16T14:37:13.814075,,54.2,48.478333333,2.42416667
6201,videlles-02,300.0,0.8672000000000009,2025-05-16T13:33:36.816603,2025-05-16T18:00:38.464708,,54.2,48.478333333,2.42416667
6197,nemours-01,150.0,0.0,2025-05-16T13:09:10.935570,2025-05-16T14:23:23.346542,,54.2,48.2604833333,2.7063833333
6195,videlles-02,300.0,0.0,2025-05-16T12:56:00.969134,2025-05-16T13:03:03.390520,,54.2,48.478333333,2.42416667
6192,nemours-01,150.0,0.0,2025-05-16T12:29:07.884471,2025-05-16T12:29:09.851882,,54.2,48.2604833333,2.7063833333
6190,videlles-02,300.0,0.0,2025-05-16T12:07:05.608323,2025-05-16T12:08:47.079048,,54.2,48.478333333,2.42416667
6189,videlles-01,100.0,0.0,2025-05-16T12:07:02.214285,2025-05-16T17:14:47.054242,,54.2,48.478333333,2.42416667
6188,nemours-02,300.0,0.0,2025-05-16T12:07:00.596961,2025-05-16T13:03:12.484889,,54.2,48.2604833333,2.7063833333
6187,videlles-01,50.0,0.0,2025-05-16T12:06:30.884112,2025-05-16T16:41:29.810073,,54.2,48.478333333,2.42416667
6186,moret-sur-loing-02,200.0,0.0,2025-05-16T12:06:30.407886,2025-05-16T12:08:30.411581,,54.2,48.37916667,2.820833333
6185,croix-augas-02,350.0,0.0,2025-05-16T12:06:29.572868,2025-05-16T12:07:57.360613,,54.2,48.4267461256,2.7108759097
6184,croix-augas-01,0.0,0.0,2025-05-16T12:06:26.933984,2025-05-16T12:07:56.816661,,54.2,48.4267461256,2.7108759097
